# User:                           Version:                     Date:           Time:         

                                                                                                                                                               
CASE                                 1              2              3              4              5              6              7              8              9 
Valve2.Fl_O.Cpt          -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008 
Valve2.Fl_O.gamt         -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004 
Valve2.Fl_O.rhot             690.75175      660.07048      632.14980      606.12210      580.89871      556.04489      530.52243      503.47332      473.74761 
Sunshot.pwr              -4.87184E-003  -5.86340E-003  -6.91139E-003  -8.02199E-003  -9.20521E-003  -1.04750E-002  -1.18558E-002  -1.33898E-002  -1.51646E-002 
Sunshot.trq                  -13.01333      -15.66190      -18.46124      -21.42777      -24.58833      -27.98009      -31.66851      -35.76578      -40.50670 
Sunshot.PR                     2.83152        2.83152        2.83152        2.83152        2.83152        2.83152        2.83152        2.83152        2.83152 
Sunshot.PRdes                  2.83152        2.83152        2.83152        2.83152        2.83152        2.83152        2.83152        2.83152        2.83152 
Sunshot.Wc                1.47485E-002   1.27760E-002   1.12838E-002   1.01140E-002   9.17172E-003   8.39560E-003   7.74490E-003   7.19108E-003   6.71367E-003 
Sunshot.Nc                  3713.58693     3674.50270     3640.36932     3610.11180     3582.91858     3558.30011     3535.81491     3515.19137     3496.24553 
Sunshot.eff               5.27749E-001   5.27749E-001   5.27749E-001   5.27749E-001   5.27749E-001   5.27749E-001   5.27749E-001   5.27749E-001   5.27749E-001 
Sunshot.effDes            5.27749E-001   5.27749E-001   5.27749E-001   5.27749E-001   5.27749E-001   5.27749E-001   5.27749E-001   5.27749E-001   5.27749E-001 
Sunshot.effPoly           9.13375E-001   8.99908E-001   8.86535E-001   8.73214E-001   8.59883E-001   8.46460E-001   8.32803E-001   8.18669E-001   8.03529E-001 
Sh.pwrIn                       0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000 
Sh.pwrOut                -1.64409E-002  -1.74325E-002  -1.84805E-002  -1.95910E-002  -2.07743E-002  -2.20441E-002  -2.34249E-002  -2.49588E-002  -2.67337E-002 
Sh.pwrNet                -1.64409E-002  -1.74325E-002  -1.84805E-002  -1.95910E-002  -2.07743E-002  -2.20441E-002  -2.34249E-002  -2.49588E-002  -2.67337E-002 
Sh.trqIn                       0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000 
Sh.trqOut                    -43.91580      -46.56436      -49.36370      -52.33024      -55.49080      -58.88256      -62.57098      -66.66824      -71.40917 
Sh.trqNet                    -43.91580      -46.56436      -49.36370      -52.33024      -55.49080      -58.88256      -62.57098      -66.66824      -71.40917 
Sh.Nmech                    3575.00000     3575.00000     3575.00000     3575.00000     3575.00000     3575.00000     3575.00000     3575.00000     3575.00000 
Cooler.switchHeat                 TEMP           TEMP           TEMP           TEMP           TEMP           TEMP           TEMP           TEMP           TEMP 
Cooler.coolerMode                 None           None           None           None           None           None           None           None           None 
Cooler.dT                   -273.89027     -273.89994     -273.90685     -273.91588     -273.91914     -273.92521     -273.92711     -273.92791     -273.93001 
Cooler.dTsat                -273.70368     -273.70558     -273.70566     -273.70865     -273.70661     -273.70812     -273.70622     -273.70418     -273.70491 
