# User:                           Version:                     Date:           Time:         

                                                                                                                                                               
CASE                                 1              2              3              4              5              6              7              8              9 
Valve2.Fl_O.W             4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
Valve2.Fl_O.Cpt          -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008 
Valve2.Fl_O.gamt         -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004 
Valve2.Fl_O.rhot             700.56379      668.57291      639.63832      612.81889      586.92496      561.53605      535.52460      508.09121      478.16766 
Sunshot.pwr              -4.87184E-003  -5.86339E-003  -6.91140E-003  -8.02197E-003  -9.20523E-003  -1.04750E-002  -1.18559E-002  -1.33897E-002  -1.51646E-002 
Sunshot.trq                  -13.01333      -15.66190      -18.46125      -21.42774      -24.58837      -27.97997      -31.66856      -35.76572      -40.50651 
Sunshot.PR                     2.83152        2.83152        2.83152        2.83152        2.83152        2.83152        2.83152        2.83152        2.83152 
Sunshot.PRdes                  2.83152        2.83152        2.83152        2.83152        2.83152        2.83152        2.83152        2.83152        2.83152 
Sunshot.Wc                1.47485E-002   1.27760E-002   1.12838E-002   1.01140E-002   9.17172E-003   8.39560E-003   7.74490E-003   7.19108E-003   6.71367E-003 
Sunshot.Nc                  3713.58691     3674.50290     3640.36859     3610.11285     3582.91768     3558.30214     3535.81438     3515.19176     3496.24622 
Sunshot.eff               5.27749E-001   5.27749E-001   5.27749E-001   5.27749E-001   5.27749E-001   5.27749E-001   5.27749E-001   5.27749E-001   5.27749E-001 
Sunshot.effDes            5.27749E-001   5.27749E-001   5.27749E-001   5.27749E-001   5.27749E-001   5.27749E-001   5.27749E-001   5.27749E-001   5.27749E-001 
Sunshot.effPoly           9.13375E-001   8.99908E-001   8.86535E-001   8.73214E-001   8.59882E-001   8.46460E-001   8.32803E-001   8.18669E-001   8.03529E-001 
Sh.pwrIn                       0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000 
